Region/Country,Second Tier Authority,Local Authority,Local Authority Code,Calendar Year,Industry Electricity,Industry Gas ,Large Industrial Installations,Industry 'Other',Industry Total,Commercial Electricity,Commercial Gas ,Commercial 'Other',Commercial Total,Public Sector Electricity,Public Sector Gas ,Public Sector 'Other',Public Sector Total,Domestic Electricity,Domestic Gas,Domestic 'Other',Domestic Total,Road Transport (A roads),Road Transport (Motorways),Road Transport (Minor roads),Diesel Railways,Transport 'Other',Transport Total,Net Emissions: Forest land,Net Emissions: Cropland,Net Emissions: Grassland,Net Emissions: Wetlands,Net Emissions: Settlements,Net Emissions: Harvested Wood Products,Net Emissions: Indirect N2O,LULUCF Net Emissions,Agriculture Electricity,Agriculture Gas,Agriculture 'Other',Agriculture Livestock,Agriculture Soils,Agriculture Total,Landfill,Waste Management 'Other',Waste Management Total,Grand Total,"Population ('000s, mid-year estimate)",Per Capita Emissions (tCO2e),Area (km2),Emissions per km2 (kt CO2e)
North East,North Tyneside,North Tyneside,E08000022,2005,158.6,86.6,0.6,29.7,275.5,132.1,57.7,0.8,190.6,48.6,46.0,0.7,95.3,185.2,315.1,18.1,518.4,191.2,0.0,177.7,2.2,1.9,372.9,-2.0,2.0,-1.9,0.0,1.1,0.0,0.0,-0.8,0.2,0.2,0.6,0.0,0.2,1.2,0.0,0.0,0.0,"1,453.0",194.1,7.5,84.8,17.1
North East,North Tyneside,North Tyneside,E08000022,2006,164.1,63.7,0.1,29.4,257.4,136.7,42.4,0.6,179.7,50.2,33.9,0.4,84.5,192.0,304.8,16.8,513.6,182.8,0.0,171.4,2.1,1.9,358.3,-2.0,2.0,-1.8,0.0,1.0,0.0,0.0,-0.8,0.2,0.1,0.6,0.0,0.2,1.1,0.0,0.0,0.0,"1,393.8",195.4,7.1,84.8,16.4
North East,North Tyneside,North Tyneside,E08000022,2007,158.6,55.1,0.0,29.3,243.1,132.1,36.7,0.6,169.3,48.5,29.3,0.4,78.2,189.3,286.2,17.5,492.9,182.8,0.0,172.9,2.1,1.9,359.7,-2.0,1.9,-1.9,0.0,1.0,0.0,0.0,-1.0,0.2,0.1,0.6,0.0,0.2,1.0,0.0,0.0,0.0,"1,343.4",196.5,6.8,84.8,15.8
North East,North Tyneside,North Tyneside,E08000022,2008,146.5,48.8,0.0,26.2,221.4,122.0,32.5,0.6,155.0,44.8,25.9,0.3,71.1,180.2,291.9,19.4,491.5,175.0,0.0,163.7,2.1,1.9,342.7,-2.1,1.9,-1.9,0.0,0.9,0.0,0.0,-1.2,0.2,0.1,0.5,0.0,0.2,1.0,0.0,0.0,0.0,"1,281.5",198.0,6.5,84.8,15.1
North East,North Tyneside,North Tyneside,E08000022,2009,115.1,46.1,0.0,21.4,182.6,95.8,30.7,0.4,126.9,35.2,24.5,0.2,59.9,163.2,261.4,17.3,441.9,168.4,0.0,159.6,2.1,1.8,331.9,-2.1,2.0,-2.0,0.0,0.9,0.0,0.0,-1.1,0.1,0.1,0.5,0.0,0.2,1.0,0.0,0.0,0.0,"1,143.1",199.0,5.7,84.8,13.5
North East,North Tyneside,North Tyneside,E08000022,2010,121.2,53.1,0.2,22.6,197.0,100.9,35.3,0.5,136.7,37.1,28.2,0.1,65.4,167.7,285.9,18.2,471.8,166.3,0.0,155.1,2.1,1.8,325.3,-2.1,2.1,-2.0,0.0,0.9,0.0,0.0,-1.1,0.1,0.1,0.6,0.0,0.2,1.0,0.0,0.0,0.0,"1,196.0",200.2,6.0,84.8,14.1
North East,North Tyneside,North Tyneside,E08000022,2011,114.8,45.6,0.0,19.7,180.1,95.6,30.3,0.4,126.4,35.1,24.2,0.3,59.6,159.9,232.4,17.8,410.1,165.3,0.0,151.6,2.0,1.7,320.6,-2.1,2.1,-2.0,0.0,0.8,0.0,0.0,-1.3,0.1,0.1,0.6,0.0,0.2,1.0,0.0,0.0,0.0,"1,096.5",201.2,5.4,84.8,12.9
North East,North Tyneside,North Tyneside,E08000022,2012,123.4,52.1,0.0,21.5,197.0,102.7,34.7,0.4,137.8,37.8,27.7,0.1,65.6,168.8,258.0,16.8,443.6,164.0,0.0,148.3,2.1,1.7,316.0,-2.1,2.1,-2.0,0.0,0.8,0.0,0.0,-1.2,0.2,0.1,0.6,0.0,0.2,1.0,0.0,0.0,0.0,"1,159.8",201.4,5.8,84.8,13.7
North East,North Tyneside,North Tyneside,E08000022,2013,111.4,54.7,0.0,18.1,184.2,92.8,36.4,0.4,129.6,34.1,29.1,0.1,63.2,154.4,266.5,17.4,438.3,161.3,0.0,146.3,2.0,1.7,311.3,-2.2,2.1,-2.0,0.0,0.8,0.0,0.0,-1.4,0.1,0.1,0.6,0.0,0.1,0.9,0.0,0.0,0.0,"1,126.2",202.2,5.6,84.8,13.3
North East,North Tyneside,North Tyneside,E08000022,2014,86.9,49.5,0.0,19.5,155.9,72.4,32.9,0.5,105.7,26.6,26.3,0.1,53.0,129.3,221.2,16.2,366.6,159.8,0.0,148.6,2.1,1.7,312.1,-2.2,2.1,-2.0,0.0,0.7,0.0,0.0,-1.3,0.1,0.1,0.6,0.0,0.2,0.9,0.0,0.0,0.0,992.9,202.9,4.9,84.8,11.7
