Material ,Location,Tonnage,Target Latitude,Target Longitude,Source Latitude,Source Longitude
News & Pams,Amritsar,194.6257,31.63996818,74.88471072,55.02428863,-1.51163798
Mixed paper ,Bad Nieuweschan,186.5176,53.1780473,7.210416043,55.02428863,-1.51163798
Cardboard,Ban Pong,96.6567,13.81246774,99.87419816,55.02428863,-1.51163798
Cardboard,Bankok ,51.903,13.74255434,100.5534456,55.02428863,-1.51163798
MRF Glass,Barnsley ,591.3377,53.56046743,-1.464427048,55.02428863,-1.51163798
Cardboard,Ben Cat,29.748,11.13899177,106.6047554,55.02428863,-1.51163798
Cardboard,Binh Duong Province,91.6647,11.11193883,106.6220934,55.02428863,-1.51163798
Steel cans,Carmarthenshire,118.2825,51.84997154,-4.274401181,55.02428863,-1.51163798
Cardboard,Carrington,136.2159,53.42360603,-2.392975051,55.02428863,-1.51163798
Mixed paper ,Carrington,56.0162,53.42360603,-2.392975051,55.02428863,-1.51163798
Cardboard,Chau ThanH District,75.8463,10.28525586,106.2423963,55.02428863,-1.51163798
Steel cans,Darlington,68.4595,54.52560936,-1.557468791,55.02428863,-1.51163798
"Plastic bottles, pots and trays",Derbyshire,261.8587,52.92003156,-1.512539138,55.02428863,-1.51163798
Steel cans,Derbyshire,52.3594,52.92003156,-1.512539138,55.02428863,-1.51163798
Aluminium cans,Dinnington ,17.6718,53.3717707,-1.205681363,55.02428863,-1.51163798
Steel cans,Dinnington ,134.4966,53.3717707,-1.205681363,55.02428863,-1.51163798
"Plastic bottles, pots and trays",Grangemouth,68.3761,56.01097142,-3.714086961,55.02428863,-1.51163798
Mixed paper ,Gujarat,36.4919,23.19884445,70.95035321,55.02428863,-1.51163798
Cardboard,Gujarat,164.1392,23.19884445,70.95035321,55.02428863,-1.51163798
Mixed paper ,Gujarat,170.7156,23.19884445,70.95035321,55.02428863,-1.51163798
Mixed paper ,Gujarat ,491.6122,23.19884445,70.95035321,55.02428863,-1.51163798
Cartons,Halifax,62.54,53.72454282,-1.861032766,55.02428863,-1.51163798
Mixed paper ,Hau Giang Province,162.4035,9.779055492,105.6271932,55.02428863,-1.51163798
"Plastic bottles, pots and trays",Kent,388.6649,51.18732649,0.855216552,55.02428863,-1.51163798
MRF Glass,Lanarkshire ,139.8206,55.67107624,-3.777725046,55.02428863,-1.51163798
Mixed paper ,Maharashtra ,2.7994,19.12169892,73.08522269,55.02428863,-1.51163798
Clear Polythene,Malle,4.03,51.29666123,4.702768573,55.02428863,-1.51163798
"Plastic bottles, pots and trays",Manchester,330.8928,53.470991,-2.196685981,55.02428863,-1.51163798
Cardboard,Meerut ,110.2935,28.98062997,77.70033033,55.02428863,-1.51163798
Mixed paper ,Meerut ,9.2142,28.98062997,77.70033033,55.02428863,-1.51163798
MRF Glass,Merseyside,201.3387,53.39346927,-3.080902158,55.02428863,-1.51163798
Steel cans,Newcastle,32.682,54.98966827,-1.648274668,55.02428863,-1.51163798
News & Pams,Norfolk,1069.7043,52.66691644,0.937112364,55.02428863,-1.51163798
Steel cans,Northants,29.9518,52.29350803,-0.626395785,55.02428863,-1.51163798
MRF Glass,NOTTINGHAM,77.5854,52.96061229,-1.161824333,55.02428863,-1.51163798
Mixed paper ,Oud Beijerland,37.9785,51.81934904,4.418729815,55.02428863,-1.51163798
Mixed paper ,Pradesh,150.5888,27.00588026,80.28428635,55.02428863,-1.51163798
Mixed paper ,Punjab,9.7994,31.63996818,74.88471072,55.02428863,-1.51163798
Steel cans,Rochdale,24.3248,53.61664649,-2.182133493,55.02428863,-1.51163798
MRF Glass,Rotherham,93.174,53.43337424,-1.35575182,55.02428863,-1.51163798
Steel cans,Rotherham,38.8734,53.43337424,-1.35575182,55.02428863,-1.51163798
MRF Glass,Rotherham ,161.511,53.43337424,-1.35575182,55.02428863,-1.51163798
"Plastic bottles, pots and trays",Rumbeke,354.2475,50.92920902,3.157132043,55.02428863,-1.51163798
Cardboard,Selangor,137.0031,3.10586041,101.6141833,55.02428863,-1.51163798
Bottle Glass (from DP Suez),Sheffield,2226.8563,53.38483684,-1.460662989,55.02428863,-1.51163798
MRF Glass,Sheffield,580.8426,53.38483684,-1.460662989,55.02428863,-1.51163798
Bottle Glass (from DP Suez),South Kirkby,46.1142,53.59193167,-1.322799964,55.02428863,-1.51163798
Aluminium cans,Swansea,1.1426,51.61965208,-3.944735436,55.02428863,-1.51163798
Mixed paper ,Tamil Nadu,107.5771,10.5832455,78.58191039,55.02428863,-1.51163798
Cardboard,Tekirdag,182.1178,40.98001984,27.50704636,55.02428863,-1.51163798
Cardboard,Tha Pha Bang Pong,57.3756,13.86073911,99.86425946,55.02428863,-1.51163798
Mixed paper ,Umargon,105.2256,20.17390458,72.76455001,55.02428863,-1.51163798
Aluminium cans,Warrington,338.3756,53.38933248,-2.595518262,55.02428863,-1.51163798
Cardboard,Zargoza,296.5562,41.6479641,-0.890346753,55.02428863,-1.51163798
